DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_FIPS,DEST_STATE_NM,DEST_WAC
11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82
14771,1477102,32457,SFO,"San Francisco, CA",CA,6,California,91
11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82
10325,1032504,30325,APA,"Denver, CO",CO,8,Colorado,82
11315,1131502,31315,DIK,"Dickinson, ND",ND,38,North Dakota,66
12389,1238902,32389,ISN,"Williston, ND",ND,38,North Dakota,66
11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82
15016,1501603,31123,STL,"St. Louis, MO",MO,29,Missouri,64
11503,1150303,31503,EGE,"Eagle, CO",CO,8,Colorado,82
11503,1150303,31503,EGE,"Eagle, CO",CO,8,Colorado,82
11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82
11996,1199603,31871,GSP,"Greer, SC",SC,45,South Carolina,37
15570,1557001,35570,VCV,"Victorville, CA",CA,6,California,91
11109,1110902,30189,COS,"Colorado Springs, CO",CO,8,Colorado,82
10800,1080003,32575,BUR,"Burbank, CA",CA,6,California,91
11503,1150303,31503,EGE,"Eagle, CO",CO,8,Colorado,82
10800,1080003,32575,BUR,"Burbank, CA",CA,6,California,91
10372,1037203,30372,ASE,"Aspen, CO",CO,8,Colorado,82
14107,1410702,30466,PHX,"Phoenix, AZ",AZ,4,Arizona,81
11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82
11109,1110902,30189,COS,"Colorado Springs, CO",CO,8,Colorado,82
11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82
11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82
10397,1039705,30397,ATL,"Atlanta, GA",GA,13,Georgia,34
11298,1129804,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74
11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82
10397,1039705,30397,ATL,"Atlanta, GA",GA,13,Georgia,34
10397,1039705,30397,ATL,"Atlanta, GA",GA,13,Georgia,34
10397,1039705,30397,ATL,"Atlanta, GA",GA,13,Georgia,34
11193,1119302,33105,CVG,"Cincinnati, OH",KY,21,Kentucky,52
11433,1143302,31295,DTW,"Detroit, MI",MI,26,Michigan,43
11775,1177502,31775,FSD,"Sioux Falls, SD",SD,46,South Dakota,67
12889,1288903,32211,LAS,"Las Vegas, NV",NV,32,Nevada,85
14679,1467903,33570,SAN,"San Diego, CA",CA,6,California,91
14869,1486903,34614,SLC,"Salt Lake City, UT",UT,49,Utah,87
11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82
11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82
11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82
11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82
11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82
11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82
16091,1609103,31295,YIP,"Detroit, MI",MI,26,Michigan,43
11109,1110902,30189,COS,"Colorado Springs, CO",CO,8,Colorado,82
11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82
11042,1104203,30647,CLE,"Cleveland, OH",OH,39,Ohio,44
12448,1244805,32448,JAN,"Jackson/Vicksburg, MS",MS,28,Mississippi,53
12892,1289205,32575,LAX,"Los Angeles, CA",CA,6,California,91
13303,1330303,32467,MIA,"Miami, FL",FL,12,Florida,33
14524,1452401,34524,RIC,"Richmond, VA",VA,51,Virginia,38
11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82
14771,1477102,32457,SFO,"San Francisco, CA",CA,6,California,91
11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82
11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82
11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82
11109,1110902,30189,COS,"Colorado Springs, CO",CO,8,Colorado,82
10792,1079204,30792,BUF,"Buffalo, NY",NY,36,New York,22
11140,1114006,31140,CRP,"Corpus Christi, TX",TX,48,Texas,74
11481,1148102,31481,ECP,"Panama City, FL",FL,12,Florida,33
11973,1197302,31973,GPT,"Gulfport/Biloxi, MS",MS,28,Mississippi,53
11996,1199603,31871,GSP,"Greer, SC",SC,45,South Carolina,37
12896,1289605,32896,LBB,"Lubbock, TX",TX,48,Texas,74
12992,1299204,32600,LIT,"Little Rock, AR",AR,5,Arkansas,71
11109,1110902,30189,COS,"Colorado Springs, CO",CO,8,Colorado,82
11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82
10423,1042302,30423,AUS,"Austin, TX",TX,48,Texas,74
13930,1393004,30977,ORD,"Chicago, IL",IL,17,Illinois,41
14831,1483104,32457,SJC,"San Jose, CA",CA,6,California,91
10325,1032504,30325,APA,"Denver, CO",CO,8,Colorado,82
10325,1032504,30325,APA,"Denver, CO",CO,8,Colorado,82
10372,1037203,30372,ASE,"Aspen, CO",CO,8,Colorado,82
12889,1288903,32211,LAS,"Las Vegas, NV",NV,32,Nevada,85
11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82
11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82
13796,1379604,32457,OAK,"Oakland, CA",CA,6,California,91
14275,1427502,34275,PTK,"Pontiac, MI",MI,26,Michigan,43
14869,1486903,34614,SLC,"Salt Lake City, UT",UT,49,Utah,87
11921,1192102,31921,GJT,"Grand Junction, CO",CO,8,Colorado,82
11563,1156303,31563,ENV,"Wendover, UT",UT,49,Utah,87
11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82
11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82
13796,1379604,32457,OAK,"Oakland, CA",CA,6,California,91
11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82
13342,1334205,33342,MKE,"Milwaukee, WI",WI,55,Wisconsin,45
